PERMNO,date,PRC,RET
86755,20090616,35.55,-0.009749
86755,20090617,35.889,0.009536
86755,20090618,35.82,-0.001923
86755,20090619,36.16,0.010719
86755,20090622,35.08,-0.029867
86755,20090623,35,-0.002281
86755,20090624,35.59,0.016857
86755,20090625,36.29,0.019668
86755,20090626,36.37,0.002204
86755,20090629,36.45,0.0022
86755,20090630,36.38,-0.00192
86755,20090701,36.4,0.00055
86755,20090702,35.6,-0.021978
86755,20090706,35.41,-0.005337
86755,20090707,34.53,-0.024852
86755,20090708,34.71,0.005213
86755,20090709,34.77,0.001729
86755,20090710,34.92,0.004314
86755,20090713,35.59,0.019187
86755,20090714,35.72,0.003653
86755,20090715,36.92,0.033595
86755,20090716,37.01,0.002438
86755,20090717,37.56,0.014861
86755,20090720,37.92,0.009585
86755,20090721,38.18,0.006857
86755,20090722,38.5,0.008381
86755,20090723,39.35,0.022078
86755,20090724,39.05,-0.007624
86755,20090727,39.35,0.007682
86755,20090728,39.08,-0.006861
86755,20090729,39.34,0.006653
86755,20090730,39.57,0.005846
86755,20090731,39.45,-0.003033
86755,20090803,40.04,0.014956
86755,20090804,40.04,0
86755,20090805,39.73,-0.007742
86755,20090806,39.38,-0.008809
86755,20090807,39.88,0.012697
86755,20090810,39.6,-0.007021
86755,20090811,39.26,-0.008586
86755,20090812,39.87,0.015537
86755,20090813,40.09,0.005518
86755,20090814,39.63,-0.011474
86755,20090817,38.48,-0.029018
86755,20090818,39.03,0.014293
86755,20090819,39.3,0.006918
86755,20090820,39.76,0.011705
86755,20090821,40.29,0.01333
86755,20090824,40.25,-0.000993
86755,20090825,40.37,0.002981
86755,20090826,40.3,-0.001734
86755,20090827,40.4,0.002481
86755,20090828,40.44,0.00099
86755,20090831,40.03,-0.010138
86755,20090901,39.28,-0.018736
86755,20090902,39.25,-0.000764
86755,20090903,39.51,0.006624
86755,20090904,40.36,0.021514
86755,20090908,40.74,0.009415
86755,20090909,41.09,0.008591
86755,20090910,41.48,0.009491
86755,20090911,41.52,0.000964
86755,20090914,41.68,0.003854
86755,20090915,41.81,0.003119
86755,20090916,42.42,0.01459
86755,20090917,42.41,-0.000236
86755,20090918,42.44,0.001668
86755,20090921,42.57,0.003063
86755,20090922,42.65,0.001879
86755,20090923,42.45,-0.004689
86755,20090924,42.07,-0.008952
86755,20090925,41.7,-0.008795
86755,20090928,42.41,0.017026
86755,20090929,42.22,-0.00448
86755,20090930,42.25,0.000711
86755,20091001,41,-0.029586
86755,20091002,40.88,-0.002927
86755,20091005,41.21,0.008072
86755,20091006,41.94,0.017714
86755,20091007,42.06,0.002861
86755,20091008,42.24,0.00428
86755,20091009,42.48,0.005682
86755,20091012,42.57,0.002119
86755,20091013,42.58,0.000235
86755,20091014,43.16,0.013621
86755,20091015,43.06,-0.002317
86755,20091016,42.78,-0.006503
86755,20091019,43.21,0.010051
86755,20091020,43.22,0.000231
86755,20091021,43.14,-0.001851
86755,20091022,43.31,0.003941
86755,20091023,43.13,-0.004156
86755,20091026,42.99,-0.003246
86755,20091027,42.34,-0.01512
86755,20091028,41.39,-0.022437
86755,20091029,42.09,0.016912
86755,20091030,40.96,-0.026847
86755,20091102,41.13,0.00415
86755,20091103,41.26,0.003161
86755,20091104,41.33,0.001697
86755,20091105,42.35,0.024679
86755,20091106,42.6,0.005903
86755,20091109,43.51,0.021362
86755,20091110,43.62,0.002528
86755,20091111,43.9,0.006419
86755,20091112,43.65,-0.005695
86755,20091113,44.01,0.008247
86755,20091116,44.46,0.010225
86755,20091117,44.6,0.003149
86755,20091118,44.353,-0.005538
86755,20091119,43.66,-0.015625
86755,20091120,43.44,-0.005039
86755,20091123,44.14,0.016114
86755,20091124,43.99,-0.003398
86755,20091125,44.18,0.004319
86755,20091127,43.51,-0.015165
86755,20091130,43.56,0.001149
86755,20091201,44.01,0.010331
86755,20091202,44.07,0.001363
86755,20091203,43.89,-0.004084
86755,20091204,44.12,0.00524
86755,20091207,43.91,-0.00476
86755,20091208,43.642,-0.006103
86755,20091209,44.08,0.010036
86755,20091210,44.3,0.004991
86755,20091211,44.13,-0.003837
86755,20091214,44.55,0.009517
86755,20091215,44.3,-0.005612
86755,20091216,44.36,0.001354
86755,20091217,43.82,-0.012173
86755,20091218,44.46,0.016376
86755,20091221,44.96,0.011246
86755,20091222,45.23,0.006005
86755,20091223,45.56,0.007296
86755,20091224,45.98,0.009219
86755,20091228,46.22,0.00522
86755,20091229,46.03,-0.004111
86755,20091230,46.17,0.003041
86755,20091231,45.75,-0.009097
86755,20100104,46.42,0.014645
86755,20100105,46.42,0
86755,20100106,46.14,-0.006032
86755,20100107,46.17,0.00065
86755,20100108,46.55,0.00823
86755,20100111,46.36,-0.004082
86755,20100112,45.78,-0.012511
86755,20100113,46.35,0.012451
86755,20100114,46.39,0.000863
86755,20100115,45.85,-0.01164
86755,20100119,46.59,0.01614
86755,20100120,45.92,-0.014381
86755,20100121,45.49,-0.009364
86755,20100122,44.16,-0.029237
86755,20100125,44.31,0.003397
86755,20100126,44.35,0.000903
86755,20100127,44.7,0.007892
86755,20100128,43.55,-0.025727
86755,20100129,42.79,-0.017451
86755,20100201,43.26,0.010984
86755,20100202,43.65,0.009015
86755,20100203,43.89,0.005498
86755,20100204,42.62,-0.028936
86755,20100205,42.98,0.008447
86755,20100208,42.67,-0.007213
86755,20100209,43.11,0.010312
86755,20100210,43.02,-0.002088
86755,20100211,43.67,0.015109
86755,20100212,43.76,0.002061
86755,20100216,44.32,0.012797
86755,20100217,44.57,0.005641
86755,20100218,44.85,0.006282
86755,20100219,44.83,-0.000446
86755,20100222,44.74,-0.002008
86755,20100223,44.16,-0.012964
86755,20100224,44.61,0.01019
86755,20100225,44.6,-0.000224
86755,20100226,44.76,0.003587
86755,20100301,45.41,0.014522
86755,20100302,45.55,0.003083
86755,20100303,45.6,0.001098
86755,20100304,45.75,0.00329
86755,20100305,46.44,0.015082
86755,20100308,46.53,0.001938
86755,20100309,46.79,0.005588
86755,20100310,47.17,0.008121
86755,20100311,47.35,0.003816
86755,20100312,47.36,0.000211
86755,20100315,47.24,-0.002534
86755,20100316,47.54,0.006351
86755,20100317,47.67,0.002734
86755,20100318,47.83,0.003356
86755,20100319,47.49,-0.006033
86755,20100322,47.92,0.009054
86755,20100323,48.2525,0.006939
86755,20100324,48.02,-0.004818
86755,20100325,47.95,-0.001458
86755,20100326,48,0.001043
86755,20100329,48.23,0.004792
86755,20100330,48.39,0.003317
86755,20100331,48.16,-0.004753
86755,20100401,48.16,0
86755,20100405,48.61,0.009344
86755,20100406,48.75,0.00288
86755,20100407,48.63,-0.002462
86755,20100408,48.74,0.002262
86755,20100409,49.03,0.00595
86755,20100412,49.07,0.000816
86755,20100413,49.32,0.005095
86755,20100414,49.91,0.011963
86755,20100415,50.13,0.004408
86755,20100416,49.53,-0.011969
86755,20100419,49.5,-0.000606
86755,20100420,49.75,0.005051
86755,20100421,50.03,0.005628
86755,20100422,50.31,0.005597
86755,20100423,50.52,0.004174
86755,20100426,50.41,-0.002177
86755,20100427,49.34,-0.021226
86755,20100428,49.37,0.000608
86755,20100429,50.23,0.017419
86755,20100430,49.2375,-0.019759
86755,20100503,49.93,0.014065
86755,20100504,48.43,-0.030042
86755,20100505,48.18,-0.005162
86755,20100506,46.57,-0.033416
86755,20100507,45.41,-0.024909
86755,20100510,47.77,0.051971
86755,20100511,47.72,-0.001047
86755,20100512,48.62,0.01886
86755,20100513,47.85,-0.015837
86755,20100514,46.93,-0.019227
86755,20100517,47.08,0.003196
86755,20100518,46.43,-0.013806
86755,20100519,46.06,-0.007969
86755,20100520,44.35,-0.037126
86755,20100521,44.84,0.011049
86755,20100524,44.66,-0.004014
86755,20100525,44.7,0.000896
86755,20100526,44.2,-0.011186
86755,20100527,45.87,0.037783
86755,20100528,45.6,-0.005886
86755,20100601,45.18,-0.00921
86755,20100602,46.25,0.023683
86755,20100603,46.69,0.009513
86755,20100604,45.0925,-0.034215
86755,20100607,44.27,-0.01824
86755,20100608,44.19,-0.001807
86755,20100609,43.82,-0.008373
86755,20100610,45.07,0.028526
86755,20100611,45.5,0.009541
86755,20100614,45.49,-0.00022
86755,20100615,46.71,0.026819
86755,20100616,46.9,0.004068
86755,20100617,47.05,0.003198
86755,20100618,47,0.000835
86755,20100621,46.6,-0.008511
86755,20100622,46.24,-0.007725
86755,20100623,46.05,-0.004109
86755,20100624,45.35,-0.015201
86755,20100625,45.27,-0.001764
86755,20100628,45.11,-0.003534
86755,20100629,43.37,-0.038572
86755,20100630,42.71,-0.015218
86755,20100701,42.59,-0.00281
86755,20100702,42.47,-0.002818
86755,20100706,42.6,0.003061
86755,20100707,43.96,0.031925
86755,20100708,44.2,0.00546
86755,20100709,44.62,0.009502
86755,20100712,44.75,0.002914
86755,20100713,45.33,0.012961
86755,20100714,45.56,0.005074
86755,20100715,45.6,0.000878
86755,20100716,44.34,-0.027632
86755,20100719,44.72,0.00857
86755,20100720,45.26,0.012075
86755,20100721,44.64,-0.013699
86755,20100722,45.77,0.025314
86755,20100723,46.06,0.006336
86755,20100726,46.44,0.00825
86755,20100727,46.42,-0.000431
86755,20100728,46.05,-0.007971
86755,20100729,45.71,-0.007383
86755,20100730,45.81,0.002188
86755,20100802,46.67,0.018773
86755,20100803,46.47,-0.004285
86755,20100804,46.938,0.010071
86755,20100805,46.83,-0.002301
86755,20100806,46.76,-0.001495
86755,20100809,47.08,0.006844
86755,20100810,46.6725,-0.008656
86755,20100811,45.4,-0.027264
86755,20100812,45.04,-0.00793
86755,20100813,44.72,-0.007105
86755,20100816,44.8,0.001789
86755,20100817,45.372,0.012768
86755,20100818,45.55,0.003923
86755,20100819,44.86,-0.015148
86755,20100820,44.92,0.001337
86755,20100823,44.48,-0.009795
86755,20100824,43.65,-0.01866
86755,20100825,44.07,0.009622
86755,20100826,43.54,-0.012026
86755,20100827,44.07,0.012173
86755,20100830,43.61,-0.010438
86755,20100831,43.46,-0.00344
86755,20100901,44.76,0.029913
86755,20100902,45.26,0.011171
86755,20100903,46.01,0.016571
86755,20100907,45.7,-0.006738
86755,20100908,46.25,0.012035
86755,20100909,46.43,0.003892
86755,20100910,46.6,0.003661
86755,20100913,47.25,0.013949
86755,20100914,47.45,0.004233
86755,20100915,47.75,0.006322
86755,20100916,47.94,0.003979
86755,20100917,47.995,0.003474
86755,20100920,48.8299,0.017396
86755,20100921,48.82,-0.000203
86755,20100922,48.69,-0.002663
86755,20100923,48.67,-0.000411
86755,20100924,49.66,0.020341
86755,20100927,49.39,-0.005437
86755,20100928,49.37,-0.000405
86755,20100929,49.29,-0.00162
86755,20100930,49.07,-0.004463
86755,20101001,49.01,-0.001223
86755,20101004,48.48,-0.010814
86755,20101005,49.66,0.02434
86755,20101006,49.23,-0.008659
86755,20101007,49.41,0.003656
86755,20101008,49.75,0.006881
86755,20101011,49.77,0.000402
86755,20101012,50.11,0.006831
86755,20101013,50.52,0.008182
86755,20101014,50.42,-0.001979
86755,20101015,51.49,0.021222
86755,20101018,51.3,-0.00369
86755,20101019,50.82,-0.009357
86755,20101020,51.19,0.007281
86755,20101021,51.29,0.001954
86755,20101022,51.64,0.006824
86755,20101025,51.89,0.004841
86755,20101026,52.03,0.002698
86755,20101027,52.19,0.003075
86755,20101028,52.3,0.002108
86755,20101029,52.18,-0.002294
86755,20101101,52.22,0.000767
86755,20101102,52.78,0.010724
86755,20101103,53.02,0.004547
86755,20101104,53.67,0.012259
86755,20101105,53.67,0
86755,20101108,53.7375,0.001258
86755,20101109,53.45,-0.00535
86755,20101110,53.715,0.004958
86755,20101111,53.385,-0.006144
86755,20101112,52.51,-0.01639
86755,20101115,52.315,-0.003714
86755,20101116,51.45,-0.016534
86755,20101117,51.6,0.002915
86755,20101118,52.43,0.016085
86755,20101119,52.47,0.000763
86755,20101122,52.91,0.008386
86755,20101123,52.07,-0.015876
86755,20101124,53.12,0.020165
86755,20101126,52.968,-0.002861
86755,20101129,52.73,-0.004493
86755,20101130,52.085,-0.012232
86755,20101201,53.19,0.021215
86755,20101202,53.73,0.010152
86755,20101203,53.87,0.002606
86755,20101206,53.845,-0.000464
86755,20101207,53.88,0.00065
86755,20101208,54.08,0.003712
86755,20101209,54.135,0.001017
86755,20101210,54.495,0.00665
86755,20101213,54.3,-0.003578
86755,20101214,54.395,0.00175
86755,20101215,54.16,-0.00432
86755,20101216,54.58,0.007755
86755,20101217,54.52,0.000885
86755,20101220,54.56,0.000734
86755,20101221,54.89,0.006048
86755,20101222,54.885,-0.000091
86755,20101223,54.742,-0.002605
86755,20101227,54.77,0.000511
86755,20101228,54.67,-0.001826
86755,20101229,54.79,0.002195
86755,20101230,54.66,-0.002373
86755,20101231,54.46,-0.003659
86755,20110103,55.31,0.015608
86755,20110104,55.265,-0.000814
86755,20110105,55.74,0.008595
86755,20110106,55.92,0.003229
86755,20110107,55.87,-0.000894
86755,20110110,56.08,0.003759
86755,20110111,56.16,0.001426
86755,20110112,56.555,0.007033
86755,20110113,56.575,0.000354
86755,20110114,57,0.007512
86755,20110118,57.16,0.002807
86755,20110119,56.51,-0.011372
86755,20110120,56.11,-0.007078
86755,20110121,55.68,-0.007664
86755,20110124,56.45,0.013829
86755,20110125,56.5325,0.001461
86755,20110126,56.83,0.005262
86755,20110127,57.18,0.006159
86755,20110128,55.73,-0.025359
86755,20110131,56,0.004845
86755,20110201,57.05,0.01875
86755,20110202,56.955,-0.001665
86755,20110203,57.0575,0.0018
86755,20110204,57.375,0.005565
86755,20110207,57.65,0.004793
86755,20110208,58.025,0.006505
86755,20110209,57.93,-0.001637
86755,20110210,58.021,0.001571
86755,20110211,58.44,0.007222
86755,20110214,58.58,0.002396
86755,20110215,58.5,-0.001366
86755,20110216,58.881,0.006513
86755,20110217,58.86,-0.000357
86755,20110218,58.73,-0.002209
86755,20110222,57.03,-0.028946
86755,20110223,56.56,-0.008241
86755,20110224,56.855,0.005216
86755,20110225,57.65,0.013983
86755,20110228,57.7689,0.002062
86755,20110301,56.84,-0.01608
86755,20110302,57.14,0.005278
86755,20110303,58.265,0.019688
86755,20110304,57.9675,-0.005106
86755,20110307,57.19,-0.013413
86755,20110308,57.42,0.004022
86755,20110309,57.03,-0.006792
86755,20110310,56.14,-0.015606
86755,20110311,56.49,0.006234
86755,20110314,56.29,-0.00354
86755,20110315,55.49,-0.014212
86755,20110316,54.15,-0.024148
86755,20110317,54.65,0.009234
86755,20110318,54.45,-0.002253
86755,20110321,55.5,0.019284
86755,20110322,55.395,-0.001892
86755,20110323,55.71,0.005686
86755,20110324,56.7,0.017771
86755,20110325,56.84,0.002469
86755,20110328,56.53,-0.005454
86755,20110329,57.08,0.009729
86755,20110330,57.35,0.00473
86755,20110331,57.43,0.001395
86755,20110401,57.46,0.000522
86755,20110404,57.27,-0.003307
86755,20110405,57.12,-0.002619
86755,20110406,57.26,0.002451
86755,20110407,57.22,-0.000699
86755,20110408,56.95,-0.004719
86755,20110411,56.76,-0.003336
86755,20110412,56.37,-0.006871
86755,20110413,56.85,0.008515
86755,20110414,56.75,-0.001759
86755,20110415,56.65,-0.001762
86755,20110418,56.25,-0.007061
86755,20110419,56.6,0.006222
86755,20110420,57.875,0.022527
86755,20110421,58.34,0.008035
86755,20110425,58.49,0.002571
86755,20110426,58.82,0.005642
86755,20110427,59.22,0.0068
86755,20110428,59.13,-0.00152
86755,20110429,59.08,-0.000846
86755,20110502,58.97,-0.001862
86755,20110503,58.69,-0.004748
86755,20110504,58.6,-0.001533
86755,20110505,58.28,-0.005461
86755,20110506,58.47,0.00326
86755,20110509,58.69,0.003763
86755,20110510,59.19,0.008519
86755,20110511,58.755,-0.007349
86755,20110512,59.11,0.006042
86755,20110513,58.41,-0.011842
